NO_PRODUTO;DS_CATEGORIA_PRODUTO;NO_PRINICIPIO_ATIVO;DS_CONCENTRACAO;DS_DESTINACAO;DS_FORMA_FISICA;DS_RESTRICAO_PRESCRICAO;ST_RESTRITO_HOSPITAL;DS_RESTRICAO_USO
AAS;ANALGESICOS NAO NARCOTICOS;ACIDO ACETILSALICILICO;100,000;;COMPRIMIDO SIMPLES;;Não;Pediátrico
AAS PROTECT;ANTIAGREGANTE PLAQUETARIO;ÁCIDO ACETILSALICÍLICO;112,778;;COMPRIMIDO REVESTIDO;;Não;Adulto
ABBA;AGENTES ANTINEOPLÁSICOS;acetato de abiraterona;250,00;;Comprimido;;Não;Adulto
Abelcet;ANTI-FUNGICOS;ANFOTERICINA B;5,00;;SUSPENSAO INJETAVEL;;Sim;Adulto e Pediátrico
ABEVMY;ANTINEOPLASICO;BEVACIZUMABE;25;;Solução p/ Diluição p/ Infusão;;Sim;Adulto
ABLOK;BETABLOQUEADORES SIMPLES;ATENOLOL;100.00;COMERCIAL;COMPRIMIDO SIMPLES;VENDA SOB PRESCRICAO MEDICA;Não;Adulto
ABLOK;BETABLOQUEADORES SIMPLES;ATENOLOL;25.00;COMERCIAL;COMPRIMIDO SIMPLES;VENDA SOB PRESCRICAO MEDICA;Não;Adulto
ABLOK;BETABLOQUEADORES SIMPLES;ATENOLOL;50.000;COMERCIAL;COMPRIMIDO SIMPLES;VENDA SOB PRESCRICAO MEDICA;Não;Adulto
ABNEVI;OUTROS ANTINEOPLASICOS;acetato de abiraterona;250,00;;Comprimido;;Não;Adulto
Abraxane;AGENTES ANTINEOPLÁSICOS;PACLITAXEL;100,00;;Pó Liofilizado para Suspensão Injetável ;;Sim;Adulto
ABRETIA;ANTIDEPRESSIVOS;CLORIDRATO DE DULOXETINA;33.67500;;CAPSULA GELATINOSA DURA DE LIBERAÇAO RETARDADA;;Não;Adulto acima de
ABRETIA;ANTIDEPRESSIVOS;CLORIDRATO DE DULOXETINA;67,35000;;CAPSULA GELATINOSA DURA DE LIBERAÇAO RETARDADA;;Não;Adulto acima de
ABRIFIT;EXPECTORANTES SIMPLES;HEDERA HELIX L.;7;COMERCIAL;XAROPE;;Não;Pediátrico acima de
ABRIFIT;EXPECTORANTES SIMPLES;HEDERA HELIX L.;7;INSTITUCIONAL;XAROPE;;Não;Pediátrico acima de
ABRIFIT;FITOTERAPICO SIMPLES;HEDERA HELIX L.;7;INSTITUCIONAL;XAROPE;;Não;Pediátrico acima de
ABRIFIT;FITOTERAPICO SIMPLES;HEDERA HELIX L.;7;COMERCIAL;XAROPE;;Não;Pediátrico acima de
ACEBROFILINA;BRONCODILATADORES;ACEBROFILINA;10.00;;XAROPE;;Não;Adulto
ACEBROFILINA;BRONCODILATADORES;ACEBROFILINA;10,000;;XAROPE;;Não;Adulto
ACEBROFILINA;BRONCODILATADORES;ACEBROFILINA;5,000;;XAROPE;;Não;Pediátrico acima de
ACEBROFILINA;BRONCODILATADORES;ACEBROFILINA;5.00;;XAROPE;;Não;Pediátrico acima de
ACEBROFILINA;OUTROS PRODUTOS PARA O APARELHO RESPIRATORIO;ACEBROFILINA;5,000;;Xarope ;;Não;Adulto e Pediátrico
ACEBROFILINA;OUTROS PRODUTOS PARA O APARELHO RESPIRATORIO;ACEBROFILINA;10,000;;Xarope ;;Não;Adulto e Pediátrico
Acebrofilina;BRONCODILATADORES;ACEBROFILINA;5.0;;XAROPE;;Não;Pediátrico acima de
Acebrofilina;BRONCODILATADORES;ACEBROFILINA;10.00;;XAROPE;;Não;Adulto
Acebrofilina;BRONCODILATADORES;ACEBROFILINA;5.00;;XAROPE;;Não;Pediátrico acima de
acebrofilina;BRONCODILATADORES;ACEBROFILINA;5,0;;XAROPE;;Não;Pediátrico acima de
acebrofilina;BRONCODILATADORES;ACEBROFILINA;10;;XAROPE;;Não;Adulto e Pediátrico acima de 
acebrofilina;BRONCODILATADORES;ACEBROFILINA;10;COMERCIAL;XAROPE;;Não;Adulto e Pediátrico
acebrofilina;BRONCODILATADORES;ACEBROFILINA;5;COMERCIAL;XAROPE;INFANTIL;Não informado;Pediátrico
acebrofilina;BRONCODILATADORES;ACEBROFILINA;05;COMERCIAL;XAROPE;VENDA SOB PRESCRICAO MEDICA;Não informado;Pediátrico
acebrofilina;BRONCODILATADORES;ACEBROFILINA;5,000;;XAROPE;;Não;Adulto e Pediátrico acima de 
acebrofilina;BRONCODILATADORES;ACEBROFILINA;10,000;;XAROPE;;Não;Adulto
acebrofilina;BRONCODILATADORES;ACEBROFILINA;5,00;;XAROPE;;Não;Adulto e Pediátrico acima de 
acebrofilina;BRONCODILATADORES;ACEBROFILINA;10,0;;XAROPE;;Não;Adulto
acebrofilina;BRONCODILATADORES;ACEBROFILINA;5;;XAROPE;;Não;Adulto e Pediátrico acima de 
acebrofilina;BRONCODILATADORES;ACEBROFILINA;5,000;;XAROPE;;Não;Adulto
acebrofilina;BRONCODILATADORES;ACEBROFILINA;05;COMERCIAL;XAROPE;INFANTIL;Não informado;Pediátrico
acebrofilina;BRONCODILATADORES;ACEBROFILINA;5;COMERCIAL;XAROPE;VENDA SOB PRESCRICAO MEDICA;Não informado;Pediátrico
acebrofilina;BRONCODILATADORES;ACEBROFILINA;5;COMERCIAL;XAROPE;VENDA SOB PRESCRICAO MEDICA;Não;Adulto e Pediátrico
acebrofilina;BRONCODILATADORES;ACEBROFILINA;10,00;;XAROPE;;Não;Adulto
acebrofilina;BRONCODILATADORES;ACEBROFILINA;5,0;;XAROPE;;Não;Adulto e Pediátrico acima de 
acebrofilina;BRONCODILATADORES;ACEBROFILINA;10;;XAROPE;;Não;Adulto
acebrofilina;BRONCODILATADORES;ACEBROFILINA;5,25;;XAROPE;;Não;Adulto e Pediátrico acima de 
acebrofilina;BRONCODILATADORES;ACEBROFILINA;10,50;;XAROPE;;Não;Adulto e Pediátrico acima de 
ACECLOFENACO;ANTINFLAMATORIOS;ACECLOFENACO;100,000;;COMPRIMIDO SIMPLES;;Não;Adulto
ACECLOFENACO;ANTINFLAMATORIOS;ACECLOFENACO;100,00;;COMPRIMIDO REVESTIDO;;Não;Adulto
aceclofenaco;ANTINFLAMATORIOS;ACECLOFENACO;100,000;;COMPRIMIDO REVESTIDO;;Sim;Adulto
aceclofenaco;ANTINFLAMATORIOS;ACECLOFENACO;100,00;;COMPRIMIDO REVESTIDO;;Não;Adulto
aceclofenaco;ANTINFLAMATORIOS;ACECLOFENACO;100,00;;Comprimido Revestido ;;Não;Adulto
aceclofenaco;ANTINFLAMATORIOS;ACECLOFENACO;100,000;;COMPRIMIDO REVESTIDO;;Não;Adulto
ACECLOFEX;ANTINFLAMATORIOS;ACECLOFENACO;15,00;;CREME DERMATOLOGICO;;Sim;Adulto
ACECLOFEX;ANTINFLAMATORIOS;ACECLOFENACO;15,00;;CREME DERMATOLOGICO;;Não;Adulto
Aceclo-gran;ANTINFLAMATORIOS;ACECLOFENACO;100,000;;COMPRIMIDO REVESTIDO;;Não;Adulto
ACEFLOR;ANTINFLAMATORIOS;ACECLOFENACO;100.0;;COMPRIMIDO REVESTIDO;;Não;Adulto
Acertalix;ANTI-HIPERTENSIVOS;INDAPAMIDA;1,25;;Comprimido Revestido ;;Não;Adulto
Acertalix;ANTI-HIPERTENSIVOS;perindopril arginina;5,00;;Comprimido Revestido ;;Não;Adulto
ACERTANLO;ANTI-HIPERTENSIVOS;BESILATO DE ANLODIPINO;3,4675;;COMPRIMIDO SIMPLES;;Não;Adulto
ACERTANLO;ANTI-HIPERTENSIVOS;BESILATO DE ANLODIPINO;13,870;;COMPRIMIDO SIMPLES;;Não;Adulto
ACERTANLO;ANTI-HIPERTENSIVOS;BESILATO DE ANLODIPINO;6,935;;COMPRIMIDO SIMPLES;;Não;Adulto
ACERTANLO;ANTI-HIPERTENSIVOS;perindopril arginina;14,000;;COMPRIMIDO SIMPLES;;Não;Adulto
ACERTANLO;ANTI-HIPERTENSIVOS;perindopril arginina;3,5000;;COMPRIMIDO SIMPLES;;Não;Adulto
ACERTANLO;ANTI-HIPERTENSIVOS;perindopril arginina;7,000;;COMPRIMIDO SIMPLES;;Não;Adulto
ACERTIL;ANTI-HIPERTENSIVOS;perindopril arginina;2.500;;COMPRIMIDO REVESTIDO;;Não;Adulto
ACERTIL;ANTI-HIPERTENSIVOS;perindopril arginina;10.000;;COMPRIMIDO REVESTIDO;;Não;Adulto
